	Dataseed	n_task	aug	n_version	dataset_kwargs	Model	accuracy	Model_id
394	10	3	0	1	100	T(,2,0.01,0.2)	50.0	4
395	10	3	0	1	100	T(,4,0.01,0.2)	50.0	5
396	10	3	0	1	100	T(entropy,2,0.01,0.2)	50.0	0
397	10	3	0	1	100	T(entropy,2,0.01,0.6)	50.0	1
398	10	3	0	1	100	T(entropy,4,0.01,0.2)	50.0	2
399	10	3	0	1	100	T(entropy,4,0.01,0.6)	50.0	3
400	1	1	0	2	100	RF(100,half,all)	72.14	7
401	1	1	0	2	100	RF(50,half,all)	73.57	6
402	1	1	0	2	100	T(,2,0.01,0.2)	62.5	4
403	1	1	0	2	100	T(,4,0.01,0.2)	64.29	5
404	1	1	0	2	100	T(entropy,2,0.01,0.2)	57.14	0
405	1	1	0	2	100	T(entropy,2,0.01,0.6)	66.07	1
406	1	1	0	2	100	T(entropy,4,0.01,0.2)	57.14	2
407	1	1	0	2	100	T(entropy,4,0.01,0.6)	66.07	3
408	2	1	0	2	100	RF(100,half,all)	67.5	7
409	2	1	0	2	100	RF(50,half,all)	65.71	6
410	2	1	0	2	100	T(,2,0.01,0.2)	62.5	4
411	2	1	0	2	100	T(,4,0.01,0.2)	62.5	5
412	2	1	0	2	100	T(entropy,2,0.01,0.2)	57.14	0
413	2	1	0	2	100	T(entropy,2,0.01,0.6)	69.64	1
414	2	1	0	2	100	T(entropy,4,0.01,0.2)	58.93	2
415	2	1	0	2	100	T(entropy,4,0.01,0.6)	69.64	3
416	3	1	0	2	100	RF(100,half,all)	69.29	7
417	3	1	0	2	100	RF(50,half,all)	70.71	6
418	3	1	0	2	100	T(,2,0.01,0.2)	60.71	4
419	3	1	0	2	100	T(,4,0.01,0.2)	64.29	5
420	3	1	0	2	100	T(entropy,2,0.01,0.2)	71.43	0
421	3	1	0	2	100	T(entropy,2,0.01,0.6)	71.43	1
422	3	1	0	2	100	T(entropy,4,0.01,0.2)	71.43	2
