,GANDALF,,,,GANDALF 7x7,,,COVID,"Iteration ""TestOp_80,1,1,4,false,stump,Any[],1,(10,45,30)""...",,,"Iteration ""TestOp_80,1,1,4,false,stump_with_memoization,Any[],1,(10,45,30)""...",,
,stump,stump+memoiz,stump+memoiz+view,,stump,stump+memoiz+view,,,ms,allocations,memory,ms,allocations,memory
,,,,,,,,,1269,17025333,439.81 MiB,1302,17531412,445.24 MiB
,,,,,,,,,1148,12745989,322.39 MiB,1162,13102565,325.76 MiB
,,,,,,,,,1252,66083606,1.85 GiB,1318,68612839,1.87 GiB
,,,,,,,,,1007,63343802,1.80 GiB,1030,64866708,1.78 GiB
,,,,,,,,,1413,74441454,2.06 GiB,1456,76423903,2.05 GiB
,,,,,,,,,1577,75302358,2.10 GiB,1616,77265030,2.09 GiB
,,,,,,,,,1063,67870598,1.91 GiB,1103,69482536,1.89 GiB
,,,,,,,,,975.773,13309861,349.01 MiB,981.18,13674888,352.11 MiB
,,,,,,,,,702.9,7125965,180.11 MiB,734.473,7313695,181.24 MiB
,,,,,,,,,1370,64442452,1.83 GiB,1452,66832969,1.84 GiB
,,,,,,,,,1157,65529320,1.87 GiB,1208,67262388,1.85 GiB
,,,,,,,,,1322,62350547,1.75 GiB,1361,63580146,1.73 GiB
,,,,,,,,,1908,66362134,1.86 GiB,1288,65834825,1.81 GiB
